,Encoder,Experiment,Generator,test_acc,test_recall,test_precision,test_roc_auc,test_pd_10,test_pd_05,test_pd_01,test_f1,tendency_to_overclassify_positive,tendency_to_overclassify_negative
74,OpenClip,PNDM,coco,0.7200000286102295,0.9325900077819824,0.7547527551651001,0.4205751121044159,0.055129773914813995,0.028355363756418228,0.0,0.8336141109466553,0.2452472448348999,0.06740999221801758
75,OpenClip,PNDM,Diff-StyleGAN2,0.753000020980835,0.7429499626159668,0.9096606373786926,0.8312522172927856,0.7018524408340454,0.6312954425811768,0.0,0.8175955414772034,0.09033936262130737,0.2570500373840332
76,OpenClip,PNDM,ProGAN,0.765999972820282,0.7517731785774231,0.9201455116271973,0.8357871174812317,0.712289571762085,0.6739014387130737,0.0,0.8265475630760193,0.07985448837280273,0.2482268214225769
77,OpenClip,coco,LDM,0.6959999799728394,0.9086205959320068,0.7448173761367798,0.3908742070198059,0.0,0.0,0.0,0.8179584741592407,0.2551826238632202,0.09137940406799316
78,OpenClip,coco,Diff-ProjectedGAN,0.6650000214576721,0.8525987863540649,0.7437378764152527,0.3892591595649719,0.04900740087032318,0.0,0.0,0.7938919067382812,0.2562621235847473,0.14740121364593506
79,OpenClip,coco,IDDPM,0.7250000238418579,0.9546194076538086,0.7473927736282349,0.531093418598175,0.0,0.0,0.0,0.8381628394126892,0.25260722637176514,0.045380592346191406
80,OpenClip,coco,DDPM,0.7289999723434448,0.972817063331604,0.7417373657226562,0.5595207810401917,0.0,0.0,0.0,0.8413838148117065,0.25826263427734375,0.027182936668395996
81,OpenClip,coco,ADM,0.7369999885559082,0.975740373134613,0.7487981915473938,0.5377288460731506,0.0,0.0,0.0,0.8466905355453491,0.2512018084526062,0.024259626865386963
82,OpenClip,coco,ProjectedGAN,0.6499999761581421,0.8609815835952759,0.7212788462638855,0.33941543102264404,0.0,0.0,0.0,0.784278154373169,0.2787211537361145,0.13901841640472412
83,OpenClip,coco,StyleGAN,0.7260000109672546,0.9483803510665894,0.7532163858413696,0.49334463477134705,0.04783838242292404,0.0,0.0,0.8394840955734253,0.24678361415863037,0.051619648933410645
84,OpenClip,coco,PNDM,0.6570000052452087,0.8827850818634033,0.7153986096382141,0.36891016364097595,0.0,0.0,0.0,0.7897353172302246,0.2846013903617859,0.11721491813659668
85,OpenClip,coco,coco,0.6850000023841858,0.5829291939735413,1.0,0.8082489371299744,0.6718205809593201,0.6415914297103882,0.0,0.7346780300140381,0.0,0.41707080602645874
86,OpenClip,coco,Diff-StyleGAN2,0.5199999809265137,0.6587313413619995,0.6965901255607605,0.25520187616348267,0.0,0.0,0.0,0.6761698722839355,0.3034098744392395,0.3412686586380005
87,OpenClip,coco,ProGAN,0.7179999947547913,0.9491710662841797,0.7437931299209595,0.4207551181316376,0.023523809388279915,0.0,0.0,0.8336874842643738,0.2562068700790405,0.05082893371582031
88,OpenClip,StyleGAN,LDM,0.746999979019165,0.7878549695014954,0.8593686819076538,0.8036878705024719,0.578128457069397,0.40027138590812683,0.0,0.8216121792793274,0.1406313180923462,0.21214503049850464
89,OpenClip,StyleGAN,Diff-ProjectedGAN,0.746999979019165,0.8003795742988586,0.855604350566864,0.8128353953361511,0.6318447589874268,0.5484760999679565,0.0,0.8258691430091858,0.144395649433136,0.19962042570114136
90,OpenClip,StyleGAN,IDDPM,0.46700000762939453,0.43118226528167725,0.749207615852356,0.5024629235267639,0.09189637005329132,0.04129021614789963,0.0,0.5463981032371521,0.25079238414764404,0.5688177347183228
91,OpenClip,StyleGAN,DDPM,0.5820000171661377,0.5675678253173828,0.80253005027771,0.6490352749824524,0.2597816288471222,0.14474530518054962,0.0,0.6644549369812012,0.19746994972229004,0.4324321746826172
92,OpenClip,StyleGAN,ADM,0.44999998807907104,0.39707431197166443,0.7899478673934937,0.5205917954444885,0.1227116510272026,0.06234384700655937,0.0,0.5254250168800354,0.21005213260650635,0.6029256880283356
93,OpenClip,StyleGAN,ProjectedGAN,0.753000020980835,0.8104712963104248,0.8451008200645447,0.8052728772163391,0.5635129809379578,0.49161750078201294,0.0,0.8263863325119019,0.15489917993545532,0.1895287036895752
94,OpenClip,StyleGAN,StyleGAN,0.7459999918937683,0.7857922911643982,0.8639727830886841,0.8236531019210815,0.6913898587226868,0.6457220315933228,0.0,0.8227909207344055,0.13602721691131592,0.2142077088356018
95,OpenClip,StyleGAN,PNDM,0.7099999785423279,0.7391185760498047,0.8656172156333923,0.7638761401176453,0.4890348017215729,0.3812914192676544,0.0,0.7953284382820129,0.13438278436660767,0.2608814239501953
96,OpenClip,StyleGAN,coco,0.7229999899864197,0.8954704403877258,0.7707274556159973,0.5938945412635803,0.17739775776863098,0.12002518028020859,0.0,0.8280655741691589,0.22927254438400269,0.10452955961227417
97,OpenClip,StyleGAN,Diff-StyleGAN2,0.7509999871253967,0.7987067103385925,0.8670558929443359,0.8230978846549988,0.6675670146942139,0.5713152289390564,0.0,0.830243706703186,0.13294410705566406,0.20129328966140747
98,OpenClip,StyleGAN,ProGAN,0.7680000066757202,0.8026811480522156,0.8828613758087158,0.8446481823921204,0.7056519985198975,0.628812313079834,0.0,0.8393322229385376,0.11713862419128418,0.19731885194778442
99,OpenClip,DDPM,LDM,0.7390000224113464,0.8091880679130554,0.8324456810951233,0.7931248545646667,0.5698702335357666,0.4887627363204956,0.0,0.8202386498451233,0.1675543189048767,0.19081193208694458
100,OpenClip,DDPM,Diff-ProjectedGAN,0.7590000033378601,0.8060814738273621,0.8617176413536072,0.8079350590705872,0.561580240726471,0.45068109035491943,0.0,0.832371175289154,0.13828235864639282,0.19391852617263794
101,OpenClip,DDPM,IDDPM,0.7609999775886536,0.8215394020080566,0.8585318326950073,0.815769374370575,0.5911866426467896,0.4646644592285156,0.0,0.8387981653213501,0.14146816730499268,0.17846059799194336
102,OpenClip,DDPM,DDPM,0.7710000276565552,0.8434385061264038,0.8485547304153442,0.8334259390830994,0.6341991424560547,0.5663542747497559,0.0,0.8454873561859131,0.15144526958465576,0.1565614938735962
