,Encoder,Experiment,Generator,Number,test_acc,test_recall,test_precision,test_roc_auc,test_pd_10,test_pd_05,test_pd_01,test_f1,tendency_to_overclassify_positive,tendency_to_overclassify_negative
91,OpenClip,StyleGAN,Diff-StyleGAN2,no,0.9079999923706055,0.8379632234573364,0.9782249331474304,0.9878783822059631,0.9649651050567627,0.9009517431259155,0.6858291029930115,0.9023429155349731,0.02177506685256958,0.16203677654266357
92,OpenClip,StyleGAN,IDDPM,no,0.6140000224113464,0.27537640929222107,0.9214192032814026,0.8111602663993835,0.45775851607322693,0.3125569522380829,0.17406189441680908,0.42314884066581726,0.07858079671859741,0.7246235907077789
93,OpenClip,StyleGAN,ProjectedGAN,no,0.9049999713897705,0.8408825397491455,0.9727555513381958,0.9854857921600342,0.9579742550849915,0.8878728151321411,0.5973448753356934,0.9013599157333374,0.0272444486618042,0.1591174602508545
94,OpenClip,StyleGAN,ProGAN,no,0.953000009059906,0.9266793131828308,0.9795649647712708,0.9949883818626404,0.9842984080314636,0.9527271389961243,0.808471143245697,0.9520647525787354,0.020435035228729248,0.07332068681716919
95,OpenClip,StyleGAN,coco,no,0.48500001430511475,0.2164202779531479,0.43250277638435364,0.46222400665283203,0.06098020821809769,0.032168418169021606,0.012945817783474922,0.2870699465274811,0.5674972236156464,0.7835797220468521
96,OpenClip,StyleGAN,PNDM,no,0.6840000152587891,0.4058031737804413,0.9594992995262146,0.8978675603866577,0.6808682084083557,0.5389000773429871,0.2924323081970215,0.5697353482246399,0.0405007004737854,0.5941968262195587
97,OpenClip,StyleGAN,DDPM,no,0.5519999861717224,0.143245667219162,0.922946035861969,0.8104614019393921,0.41613611578941345,0.3032262325286865,0.09490543603897095,0.24612931907176971,0.077053964138031,0.856754332780838
98,OpenClip,StyleGAN,LDM,no,0.7409999966621399,0.504238486289978,0.9860990047454834,0.9506281614303589,0.8180107474327087,0.7187901139259338,0.4563825726509094,0.6643158793449402,0.013900995254516602,0.495761513710022
99,OpenClip,DDPM,StyleGAN,no,0.9089999794960022,0.8485127687454224,0.973494827747345,0.9856597781181335,0.9549048542976379,0.9158580899238586,0.6825748085975647,0.9059551954269409,0.02650517225265503,0.15148723125457764
100,OpenClip,DDPM,ADM,no,0.6919999718666077,0.42157262563705444,0.9607866406440735,0.917796790599823,0.7258190512657166,0.5936316847801208,0.30005940794944763,0.584401547908783,0.039213359355926514,0.5784273743629456
101,OpenClip,DDPM,Diff-ProjectedGAN,no,0.953000009059906,0.9238958954811096,0.983471155166626,0.9930609464645386,0.9884397387504578,0.9687745571136475,0.6763612031936646,0.9524216651916504,0.016528844833374023,0.07610410451889038
102,OpenClip,DDPM,Diff-StyleGAN2,no,0.953000009059906,0.9240649938583374,0.9829009771347046,0.9927414655685425,0.9750576019287109,0.9560951590538025,0.7854949831962585,0.9522835612297058,0.01709902286529541,0.0759350061416626
103,OpenClip,DDPM,IDDPM,no,0.8989999890327454,0.8217682242393494,0.9768986105918884,0.9753997921943665,0.9129736423492432,0.8576139807701111,0.5647932291030884,0.8919960260391235,0.023101389408111572,0.17823177576065063
104,OpenClip,DDPM,ProjectedGAN,no,0.9710000157356262,0.9573196768760681,0.9854789972305298,0.9959604740142822,0.990231990814209,0.9741030335426331,0.7955409288406372,0.9710394144058228,0.014521002769470215,0.042680323123931885
105,OpenClip,DDPM,ProGAN,no,0.9940000176429749,1.0,0.9882272481918335,0.9997791051864624,1.0,1.0,0.882365882396698,0.9940509796142578,0.011772751808166504,0.0
106,OpenClip,DDPM,coco,no,0.5580000281333923,0.17339222133159637,0.6614004969596863,0.6170238852500916,0.1715327650308609,0.08671925961971283,0.031998928636312485,0.273295134305954,0.3385995030403137,0.8266077786684036
107,OpenClip,DDPM,PNDM,no,0.953000009059906,0.9317009449005127,0.9765504598617554,0.9938728213310242,0.9811233878135681,0.9393355846405029,0.8065853118896484,0.9533467292785645,0.02344954013824463,0.0682990550994873
108,OpenClip,DDPM,DDPM,no,0.9350000023841858,0.894271731376648,0.9792371392250061,0.9917665123939514,0.9784106016159058,0.9604323506355286,0.753364622592926,0.9347275495529175,0.020762860774993896,0.10572826862335205
109,OpenClip,DDPM,LDM,no,0.8870000243186951,0.7951504588127136,0.9817162752151489,0.9860084056854248,0.9462698698043823,0.9088078141212463,0.6770612001419067,0.8776523470878601,0.018283724784851074,0.20484954118728638
110,OpenClip,ADM,StyleGAN,no,0.9070000052452087,0.932563304901123,0.8915147185325623,0.9595732688903809,0.9085404276847839,0.8113720417022705,0.2876858413219452,0.9111262559890747,0.10848528146743774,0.06743669509887695
